country,continent,year,life_expectancy,population,gdp_per_capita,iso_alpha
Peru,Americas,2002,69.906,"26,769,436","$5,909.02",PER
Peru,Americas,2007,71.421,"28,674,757","$7,408.91",PER
Philippines,Asia,1992,66.458,"67,185,766","$2,279.32",PHL
Philippines,Asia,1997,68.564,"75,012,988","$2,536.53",PHL
Philippines,Asia,2002,70.303,"82,995,088","$2,650.92",PHL
Philippines,Asia,2007,71.688,"91,077,287","$3,190.48",PHL
Poland,Europe,1992,70.99,"38,370,697","$7,738.88",POL
Poland,Europe,1997,72.75,"38,654,957","$10,159.58",POL
Poland,europe,2002,74.67,"38,625,976","$12,002.24",POL
Poland,Europe,2007,75.563,"38,518,241","$15,389.92",POL
Portugal,Europe,1992,74.86,"9,927,680","$16,207.27",PRT
Portugal ,Europe,1997,75.97,"10,156,415","$17,641.03",PRT
Portugal,Europe,2002,77.29,"10,433,867","$19,970.91",PRT
Portugal,Europe,2007,78.098,"10,642,836","$20,509.65",PRT
Puerto Rico,Americas,1992,73.911,"3,585,176","$14,641.59",PRI
Puerto Rico,Americas,1997,74.917,"3,759,430","$16,999.43",PRI
Puerto Rico,Americas,2002,77.778,"3,859,606","$18,855.61",PRI
Puerto Rico,Americas,2007,78.74600000000002,"3,942,491","$19,328.71",PRI
Reunion,Africa,1992,73.615,"622,191","$6,101.26",REU
Reunion,Africa,1997,74.77199999999998,"684,810","$6,071.94",REU
Reunion,Africa,2002,75.744,"743,981","$6,316.17",REU
REUNION,Africa,2007,76.442,"798,094","$7,670.12",REU
 Romania,Europe,1992,69.36,"22,797,027","$6,598.41",ROU
Romania,Europe,1997,69.72,"22,562,458","$7,346.55",ROU
Romania,Europe,2002,71.322,"22,404,337","$7,885.36",ROU
Romania,Europe,2007,72.476,"22,276,056","$10,808.48",ROU
Rwanda,Africa,1992,23.599,"7,290,203",$737.07,RWA
Rwanda,Africa,1997,36.087,"7,212,583",$589.94,RWA
Rwanda,Africa ,2002,43.413,"7,852,401",$785.65,RWA
Rwanda,Africa,2007,46.242,"8,860,588",$863.09,RWA
Sao Tome and Principe,Africa,1992,62.742,"125,911","$1,428.78",STP
Sao Tome and Principe,Africa,1997,63.306,"145,608","$1,339.08",STP
Sao Tome and Principe,Africa,2002,64.337,"170,372","$1,353.09",STP
Sao Tome and Principe,Africa,2007,65.528,"199,579","$1,598.44",STP
Saudi Arabia,Asia,1992,68.768,"16,945,857","$24,841.62",SAU
Saudi Arabia,Asia,1997,70.533,"21,229,759","$20,586.69",SAU
Saudi Arabia,Asia,2002,71.626,"24,501,530","$19,014.54",SAU
Saudi Arabia,Asia,2007,72.777,"27,601,038","$21,654.83",SAU
Senegal,Africa,1992,58.19600000000001,"8,307,920","$1,367.90",SEN
Senegal,Africa,1997,60.187,"9,535,314","$1,392.37",SEN
Senegal,Africa,2002,61.6,"10,870,037","$1,519.64",SEN
Senegal,Africa,2007,63.062,"12,267,493","$1,712.47",SEN
Serbia,Europe,1992,71.65899999999998,"9,826,397","$9,325.07",SRB
Serbia,Europe,1997,72.232,"10,336,594","$7,914.32",SRB
Serbia,Europe,2002,73.21300000000002,unknown,"$7,236.08",SRB
Serbia,Europe,2007,74.002,"10,150,265","$9,786.53",SRB
Sierra Leone,Africa,1992,38.333,"4,260,884","$1,068.70",SLE
Sierra Leone,Africa,1997,39.897,"4,578,212",$574.65,SLE
Sierra Leone,Africa,2002,41.012,"5,359,092",$699.49,SLE
Sierra Leone,africa,2007,42.56800000000001,"6,144,562",$862.54,SLE
Singapore,Asia,1992,75.788,"3,235,865","$24,769.89",SGP
Singapore,Asia,1997,77.158,"3,802,309","$33,519.48",SGP
Singapore,Asia,2002,78.77,"4,197,776","$36,023.11",SGP
Singapore,Asia,2007,79.972,"4,553,009","$47,143.18",SGP
Slovakia,Europe,1992,71.38,"5,302,888","$9,498.47",SVK
Slovakia,Europe,1997,72.71,"5,383,010","$12,126.23",SVK
Slovakia,Europe,2002,73.8,"5,410,052","$13,638.78",SVK
Slovakia,Europe,2007,74.663,"5,447,502","$18,678.31",SVK
Slovenia,Europe,1992,73.64,"1,999,210","$14,214.72",SVN
Slovenia,Europe,1997,75.13,"2,011,612","$17,161.11",SVN
Slovenia,Europe,2002,76.66,"2,011,497","$20,660.02",SVN
Slovenia,Europe,2007,77.926,"2,009,245","$25,768.26",SVN
Somalia,Africa,1992,39.658,"6,099,799",$926.96,SOM
Somalia,Africa,1997,43.795,"6,633,514",$930.60,SOM
Somalia,Africa,2002,45.93600000000001,"7,753,310",$882.08,SOM
Somalia,Africa,2007,48.159,"9,118,773",not available,SOM
South Africa,Africa,1992,61.88800000000001,"39,964,159","$7,225.07",ZAF
South Africa,Africa,1997,60.236,"42,835,005","$7,479.19",ZAF
SOUTH AFRICA,Africa,2002,53.365,"44,433,622","$7,710.95",ZAF
South Africa,Africa,2007,49.339,"43,997,828","$9,269.66",ZAF
Spain ,Europe,1992,77.57,"39,549,438","$18,603.06",ESP
Spain,Europe ,1997,78.77,"39,855,442","$20,445.30",ESP
Spain,Europe,2002,79.78,"40,152,517","$24,835.47",ESP
Spain,Europe,2007,80.941,"40,448,191","$28,821.06",ESP
Sri Lanka,Asia,1992,70.37899999999998,"17,587,060","$2,153.74",LKA
 Sri Lanka,Asia,1997,70.457,"18,698,655","$2,664.48",LKA
Sri Lanka,Asia,2002,70.815,"19,576,783","$3,015.38",LKA
Sri Lanka,Asia,2007,,unknown,"$3,970.10",LKA
Sudan,Africa,1992,53.556,"28,227,588","$1,492.20",SDN
Sudan,Africa,1997,55.37300000000001,"32,160,729","$1,632.21",SDN
Sudan,Africa,2002,56.369,"37,090,298","$1,993.40",SDN
Sudan,Africa,2007,58.556,"42,292,929","$2,602.39",SDN
Swaziland,Africa,1992,58.474,"962,344","$3,553.02",SWZ
Swaziland,Africa,1997,54.289,"1,054,486","$3,876.77",SWZ
Swaziland,Africa,2002,43.869,"1,130,269","$4,128.12",SWZ
Swaziland,Africa,2007,39.613,"1,133,066","$4,513.48",SWZ
Sweden,Europe,1992,78.16,"8,718,867","$23,880.02",SWE
Sweden,Europe,1997,79.39,"8,897,619","$25,266.59",SWE
Sweden,Europe,2002,80.04,"8,954,175","$29,341.63",SWE
Sweden,Europe,2007,80.884,"9,031,088","$33,859.75",SWE
Switzerland,europe,1992,,"6,995,447","$31,871.53",CHE
Switzerland,Europe,1997,79.37,"7,193,761","$32,135.32",CHE
Switzerland,Europe,2002,80.62,"7,361,757","$34,480.96",CHE
Switzerland,Europe,2007,81.70100000000002,"7,554,661","$37,506.42",CHE
Syria,Asia,1992,69.249,"13,219,062","$3,340.54",SYR
Syria,Asia,1997,71.527,"15,081,016","$4,014.24",SYR
Syria,Asia,2002,73.053,"17,155,814","$4,090.93",SYR
Syria,Asia,2007,74.143,"19,314,747","$4,184.55",SYR
Taiwan,Asia,1992,74.26,"20,686,918","$15,215.66",TWN
Taiwan,Asia,1997,75.25,"21,628,605","$20,206.82",TWN
Taiwan,Asia,2002,76.99,"22,454,239","$23,235.42",TWN
Taiwan,Asia,2007,78.4,"23,174,294","$28,718.28",TWN
Tanzania,Africa,1992,50.44,"26,605,473",$825.68,TZA
Tanzania,Africa,1997,48.466,"30,686,889",$789.19,TZA
Tanzania,Africa,2002,49.651,"34,593,779",$899.07,TZA
Tanzania,Africa,2007,52.517,"38,139,640","$1,107.48",TZA
Thailand,Asia,1992,67.298,"56,667,095","$4,616.90",THA
Thailand,Asia,1997,67.521,"60,216,677","$5,852.63",THA
Thailand,Asia,2002,68.564,"62,806,748","$5,913.19",THA
Thailand,Asia,2007,70.616,"65,068,149",not available,THA
Togo,Africa,1992,58.06100000000001,"3,747,553","$1,034.30",TGO
Togo,Africa,1997,58.39,"4,320,890",$982.29,TGO
Togo,Africa,2002,57.56100000000001,"4,977,378",$886.22,TGO
Togo,Africa,2007,58.42,"5,701,579",$882.97,TGO
Trinidad and Tobago,Americas ,1992,69.862,unknown,"$7,370.99",TTO
TRINIDAD AND TOBAGO,Americas,1997,69.465,"1,138,101","$8,792.57",TTO
Trinidad and Tobago,Americas,2002,68.976,"1,101,832","$11,460.60",TTO
Trinidad and Tobago,Americas,2007,69.819,"1,056,608","$18,008.51",TTO
Tunisia,Africa,1992,70.001,"8,523,077","$4,332.72",TUN
Tunisia,Africa,1997,71.973,"9,231,669","$4,876.80",TUN
Tunisia,Africa,2002,73.042,"9,770,575","$5,722.90",TUN
Tunisia,Africa,2007,73.923,"10,276,158","$7,092.92",TUN
Turkey,Europe,1992,66.146,"58,179,144","$5,678.35",TUR
Turkey,Europe,1997,68.835,"63,047,647","$6,601.43",TUR
Turkey,Europe,2002,70.845,unknown,"$6,508.09",TUR
Turkey,Europe,2007,71.777,"71,158,647","$8,458.28",TUR
Uganda,Africa,1992,48.825,"18,252,190",not available,UGA
Uganda,Africa,1997,44.578,"21,210,254",$816.56,UGA
 Uganda,Africa,2002,47.813,"24,739,869",$927.72,UGA
Uganda ,Africa,2007,51.542,"29,170,398","$1,056.38",UGA
United Kingdom,Europe,1992,76.42,"57,866,349","$22,705.09",GBR
United Kingdom,europe,1997,77.218,"58,808,266","$26,074.53",GBR
United Kingdom,Europe,2002,78.471,"59,912,431","$29,479.00",GBR
United Kingdom,Europe,2007,79.425,"60,776,238","$33,203.26",GBR
 United States ,Americas,1992,76.09,"256,894,189","$32,003.93",USA
 United States ,Americas,1997,76.81,"272,911,760","$35,767.43",USA
 United States ,Americas,2002,77.31,"287,675,526","$39,097.10",USA
 United States ,Americas,2007,78.242,"301,139,947","$42,951.65",USA
Uruguay,Americas,1992,72.752,"3,149,262","$8,137.00",URY
Uruguay,Americas,1997,74.223,"3,262,838","$9,230.24",URY
Uruguay,Americas,2002,75.307,"3,363,085","$7,727.00",URY
Uruguay,Americas,2007,76.384,"3,447,496","$10,611.46",URY
Venezuela,Americas,1992,71.15,"20,265,563","$10,733.93",VEN
Venezuela,Americas,1997,72.146,"22,374,398","$10,165.50",VEN
Venezuela,Americas,2002,72.766,"24,287,670","$8,605.05",VEN
Venezuela,Americas,2007,73.747,"26,084,662","$11,415.81",VEN
Vietnam,Asia,1992,67.66199999999999,"69,940,728",$989.02,VNM
Vietnam,Asia,1997,70.672,"76,048,996","$1,385.90",VNM
Vietnam,Asia,2002,73.017,"80,908,147","$1,764.46",VNM
Vietnam,Asia,2007,74.249,"85,262,356","$2,441.58",VNM
West Bank and Gaza,Asia,1992,69.718,"2,104,779","$6,017.65",PSE
West Bank and Gaza,Asia,1997,71.096,"2,826,046","$7,110.67",PSE
West Bank and Gaza,Asia,2002,72.37,"3,389,578","$4,515.49",PSE
West Bank and Gaza,Asia,2007,73.422,"4,018,332","$3,025.35",PSE
"Yemen, Rep.",Asia,1992,55.599,"13,367,997","$1,879.50",YEM
"Yemen, Rep.",Asia,1997,58.02,"15,826,497","$2,117.48",YEM
"Yemen, Rep.",Asia,2002,60.308,"18,701,257","$2,234.82",YEM
"Yemen, Rep.",Asia ,2007,62.698,"22,211,743","$2,280.77",YEM
Zambia,Africa,1992,46.1,"8,381,163","$1,210.88",ZMB
Zambia,Africa,1997,40.238,"9,417,789","$1,071.35",ZMB
Zambia,Africa,2002,39.19300000000001,"10,595,811","$1,071.61",ZMB
Zambia,Africa,2007,42.38399999999999,"11,746,035","$1,271.21",ZMB
ZIMBABWE,Africa,1992,60.377,"10,704,340",$693.42,ZWE
Zimbabwe,Africa,1997,46.809,"11,404,948",$792.45,ZWE
Zimbabwe,Africa,2002,39.989,"11,926,563",$672.04,ZWE
Zimbabwe,Africa,2007,43.487,"12,311,143",$469.71,ZWE
Montenegro,Europe,2007,74.543,"684,736","$9,253.90",MNE
Syria,Asia,2002,73.053,"17,155,814","$4,090.93",SYR
Liberia,Africa,2007,45.678,"3,193,942",$414.51,LBR
Jamaica,Americas,1997,72.262,"2,531,311","$7,121.92",JAM
"Korea, Dem. Rep.",Asia,1992,69.97800000000001,"20,711,375","$3,726.06",KOR
El Salvador,Americas,1997,69.535,"5,783,439","$5,154.83",SLV
